,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Seed Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
فروش,فروش خودرو,36,5.0,57,1.5,926,3.1,"2,431",3.1,"3,673",3.8,"5,222",4.6,"3,484",5.7,"3,696",5.4,"3,400",5.2,"2,623",5.6,"2,659",5.1,"2,319",5.5,"2,183",4.9,"2,598",5.3,"2,125",4.6
فروش,فروش ماشین,13,2.4,11,4.1,337,2.3,738,2.5,959,3.2,"1,157",3.7,886,4.5,"1,099",4.2,796,3.8,745,4.4,655,4.3,700,4.4,544,4.3,560,4.5,537,4.8
فروش,فروش خودرو کارکرده,3,1.7,3,1.0,51,1.2,98,1.1,166,2.3,149,2.9,140,3,160,2.2,193,2.4,198,2.3,220,2.1,243,2.3,196,2.6,193,2.4,138,2.3
فروش,فروش فوری خودرو,5,1.0,5,1.0,122,1.1,228,1,339,1.1,555,2,423,1,330,1,399,1,345,1.4,310,1.5,287,1.6,221,1.5,229,1.4,151,1.2
فروش,فروش فوری خودرو کارکرده,2,1.0,3,1.0,43,1.1,96,1.1,136,1.1,175,1.1,155,1.1,132,1.1,160,1.1,176,1.2,158,1.3,243,1.4,172,1.3,261,1.3,153,1.3
فروش,فروش ماشین دست دوم,0,0.0,0,0.0,13,1.2,41,1.2,46,1.2,53,1.8,88,2.7,29,2.4,42,2.3,36,2.1,23,3.0,50,2.4,16,2.9,20,2.2,7,1.7
فروش,سایت فروش خودرو,0,0.0,4,1.3,76,1.1,304,1.4,487,2,760,2.7,471,2.7,533,2.5,417,1.9,365,2.6,291,2.2,441,2.3,306,2.2,328,2.5,258,2.7
فروش,سایت فروش ماشین,1,2.0,1,2.0,54,1,205,1.3,229,2.2,262,2.4,238,2.8,277,2.3,195,2.2,252,2.5,177,2.1,204,2.3,154,2,193,2,153,2.2
فروش,خریدار خودرو,1,18.0,3,7.3,7,8,9,4.6,5,6.4,38,7.4,65,8.7,14,6.6,34,6.5,13,3.8,11,4.1,38,7.2,9,7.3,22,5.2,32,5.3
فروش,فروش ماشین پول لازم,1,1.0,0,0.0,4,1.3,4,1,15,1.1,9,1,18,1,10,1.1,16,1.2,24,1.5,5,1.2,1,1,11,1,7,1.3,11,1.3
,Total / Weighted Average,62,3.94,87,1.96,"1,633",2.51,"4,154",2.55,"6,055",3.22,"8,380",3.95,"5,968",4.63,"6,280",4.38,"5,652",4.17,"4,777",4.37,"4,509",4.11,"4,526",4.21,"3,812",3.98,"4,411",4.26,"3,565",3.99
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Seed Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
قیمت ,قیمت خودرو,408,3.7,465,3.7,"31,751",3.9,"76,199",5.6,"221,148",6.7,"233,041",5,"136,301",5,"130,499",5,"127,031",5.9,"111,402",6.7,"92,275",7.1,"197,778",7.4,"107,497",7.3,"117,973",7.3,"81,489",7.2
قیمت ,قیمت روز خودرو,383,3.3,716,3.0,"32,077",3.2,"132,070",4.1,"371,396",4.6,"250,796",2.9,"122,406",3.4,"128,091",4.3,"145,335",4.7,"161,271",5.3,"147,642",5.8,"280,681",6.4,"155,614",6.2,"171,320",6.5,"126,357",6.2
قیمت ,قیمت خودرو امروز,112,2.4,149,2.6,"5,390",3.5,"16,459",3.6,"56,564",4.9,"51,183",2.9,"26,063",3.98,"20,055",3.91,"25,722",3.8,"26,439",4,"22,853",5,"71,433",5.7,"30,924",5,"32,102",5.4,"23,079",5.5
قیمت ,قیمت روز خودرو کارخانه و بازار,153,2.4,210,2.6,"19,011",2,"19,975",2.3,"31,730",3,"52,870",2.2,"20,436",1.96,"10,231",1.54,"12,197",2.23,"11,618",1.92,"9,174",2.2,"23,630",2.2,"12,941",2.2,"11,861",2.1,"9,271",1.9
تخمین قیمت,تخمین قیمت خودرو,41,2.4,136,1.4,"4,680",1.3,"16,916",1.2,"35,354",1.3,"27,118",2.1,"22,440",2.5,"20,892",2.6,"16,974",2.6,"15,722",2.6,"14,879",2.5,"15,098",2.6,"12,091",2.7,"13,849",2.7,"13,262",2.7
تخمین قیمت,قیمت خودرو کارکرده,54,2.4,89,2.5,"4,707",2.3,"11,003",1.9,"22,811",2,"16,086",2.1,"11,908",2.4,"10,542",3.2,"9,058",3.5,"8,271",4.1,"7,503",4.5,"9,819",4.6,"6,934",3.6,"7,415",3.3,"6,558",3
تخمین قیمت,قیمت روز خودرو کارکرده,3,1.0,3,1.0,88,1.9,291,1.9,635,2,450,2,335,2.1,333,2.6,283,3.1,309,3.2,288,3,354,3.1,226,3.1,255,3.3,236,3.2
تخمین قیمت,تخمین قیمت خودرو کارکرده,20,1.1,23,1.0,914,1,"3,002",1.1,"5,592",1.1,"3,812",1.5,"3,012",2.4,"2,781",2.5,"2,378",2.6,"2,857",2.6,"3,244",2.4,"2,738",2.6,"2,222",2.7,"2,863",2.7,"2,490",2.7
,Total / Weighted Average,"1,174",3.12,"1,791",2.93,"98,618",3.06,"275,915",4.05,"745,230",4.91,"635,356",3.39,"342,901",3.90,"323,424",4.43,"338,978",4.83,"337,889",5.36,"297,858",5.79,"601,531",6.35,"328,449",6.10,"357,638",6.27,"262,742",6.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Category Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
قیمت ,قیمت محصولات ایران خودرو,27,3.5,34,2.8,"4,427",3.5,"2,192",7.4,"21,975",4.8,"25,741",4,"13,290",3,"14,188",4.3,"10,053",7.2,"5,791",6.8,"5,039",6.9,"2,839",6.2,462,6.3,167,6.4,266,6.6
قیمت ,قیمت محصولات ایران خودرو کارخانه و بازار,19,1.8,34,1.5,"9,472",1.1,"9,970",2.1,"13,851",3.4,"20,662",2.2,"10,827",1.0,"7,297",1,"6,968",1,"6,744",3,"5,323",4.3,"1,644",6.1,"1,033",7.4,171,7.1,242,6.1
قیمت ,قیمت بازار محصولات ایران خودرو,0,0.0,8,3.1,246,1.1,736,2.3,"1,425",3.2,"2,434",1.6,"1,653",2.8,"1,388",2.2,"1,266",2.4,"1,349",2.9,927,2.5,"3,329",3.2,"4,249",4.5,"1,289",3.4,947,2.8
قیمت ,قیمت روز محصولات ایران خودرو,2,3.0,5,2.2,418,2.5,"1,485",3.5,"3,827",3.6,"3,088",2.4,"1,565",2.4,"1,641",3,"1,648",3,"1,969",3,"1,679",3,"4,071",3.2,"2,609",3.4,"2,195",3.8,"1,488",3.2
قیمت ,قیمت جدید محصولات ایران خودرو,2,3.5,0,0.0,112,5.2,0,0,528,5.3,980,5,129,6,543,3.8,10,8.3,32,7.3,34,9,51,7.8,0,0,0,0,3,5
قیمت ,قیمت محصولات سایپا,4,3.8,16,3.0,"3,657",1.9,"8,240",4.7,"15,212",5.4,"22,305",3.1,"11,695",3.0,"9,692",3,"8,031",3,"6,550",2,"5,059",2,"9,703",2.3,"7,455",2.4,"6,247",2.8,"5,806",2.4
قیمت ,قیمت محصولات سایپا کارخانه و بازار,2,1.0,13,3.1,"3,592",1.1,"6,458",1.3,"6,087",2,"6,557",2,"5,111",2,"3,117",1.7,"3,253",1.4,"2,768",1.2,"2,493",1.2,"5,095",1.2,"3,215",1.2,"3,322",1.2,"2,756",1.2
قیمت ,قیمت روز محصولات سایپا,0,0.0,0,0.0,210,1.1,749,1.4,"1,954",3.6,"1,589",1.8,"1,015",1.8,863,2,830,1,739,1,637,1.3,"1,159",1.3,724,1.3,787,1.5,613,1.5
قیمت ,قیمت بازار محصولات سایپا,0,0.0,3,3.7,263,1.1,643,1.1,"1,259",1.5,"1,038",1.6,799,1.9,481,1.9,578,1.3,461,1.1,348,1.1,577,1.1,464,1.2,519,1.4,347,1.4
قیمت ,قیمت جدید محصولات سایپا,0,0.0,2,18.0,187,2.1,324,7.1,264,8.4,466,7.1,409,4.9,252,7.3,265,6.4,301,5.6,268,5.3,"1,013",6.7,"1,047",6.8,550,6.6,877,6.5
قیمت ,قیمت محصولات مدیران خودرو,0,0.0,6,1.5,527,1.0,"1,420",1.8,"2,004",2.2,"1,946",3.5,"2,019",2.1,"1,550",1.9,"1,276",1.7,"2,802",3.3,"1,256",1.6,"1,135",1.6,824,1.6,843,1.7,703,1.7
قیمت ,قیمت روز محصولات مدیران خودرو,0,0.0,1,1.0,82,1.0,201,1,358,1.3,353,2.0,291,1.9,244,1.8,233,1.3,376,1.3,204,1.3,227,1.3,139,1.2,174,1.2,142,1.4
قیمت ,قیمت بازار محصولات مدیران خودرو,0,0.0,1,1.0,11,1.0,21,1.1,66,1.1,53,1.8,25,1.8,12,1.8,13,1.3,62,1.3,18,1.3,30,1.4,24,1.4,22,1.3,5,1.2
قیمت ,قیمت روز مدیران خودرو,1,2.0,0,0.0,35,1.0,160,1.1,298,1.6,308,3.0,211,1.9,164,1.9,135,1.4,305,1.3,150,1.3,180,1.4,107,1.6,111,1.5,83,1.4
قیمت ,قیمت جدید محصولات مدیران خودرو,1,1.0,2,3.0,107,1.1,222,1.9,254,1.6,105,3.3,309,2.1,227,1.9,209,1.6,"1,974",3.4,329,1.5,236,1.7,147,1.5,97,2.1,131,1.5
قیمت ,قیمت محصولات کرمان موتور,0,0.0,0,0.0,"1,427",6.3,298,4.9,60,9.7,580,7.8,110,6.3,31,7,58,8,337,8,386,8.6,559,7.7,46,6.8,117,7.5,8,6.4
قیمت ,قیمت جدید محصولات کرمان موتور,0,0.0,0,0.0,26,4.4,0,0,4,6,0,0,3,6,0,0,2,6,34,9,32,8.1,89,8.3,0,0,21,7,3,8
قیمت ,قیمت روز محصولات کرمان موتور,0,0.0,0,0.0,25,1.0,97,2.4,182,2.8,221,3,126,2,108,2.1,105,2.0,77,1.9,66,1.8,135,1.9,71,1.8,64,1.7,74,1.8
قیمت ,قیمت کارخانه کرمان موتور,0,0.0,0,0.0,52,8,10,8.7,3,7.3,4,9.5,0,0.0,54,8.1,24,7.5,100,7.6,68,8.1,69,8.4,0,0,15,9,0,0
قیمت ,قیمت محصولات بهمن موتور,0,0.0,11,1.0,"1,346",1.1,"3,173",1.6,"1,853",3.2,"1,926",5.5,"8,296",6.0,"1,966",3.8,"3,007",2.1,"1,041",1.9,"2,025",1.6,958,1.4,737,1.4,665,1.5,560,1.6
قیمت ,قیمت محصولات بهمن موتور در کارخانه و بازار,0,0.0,6,2.0,276,1.0,853,1.5,598,2.6,539,2.9,736,2.8,348,2.7,712,1.5,416,1.3,837,1.2,389,1.2,315,1.2,299,1.2,185,1.2
قیمت ,قیمت روز محصولات بهمن موتور,0,0.0,0,0.0,4,1.0,15,1,17,2,82,3,49,4,48,4,60,2,38,2,115,1.3,42,1.6,18,1.4,25,1.5,31,1.6
قیمت ,قیمت خودروهای بهمن موتور,0,0.0,0,0.0,14,1.0,21,1,36,2.1,57,2.9,49,4.7,34,3,88,2,40,2,88,1.7,28,1.4,37,1.7,29,1.7,26,1.8
,Total / Weighted Average,58,2.79,142,2.52,"26,516",1.95,"37,288",2.86,"72,115",4.07,"91,034",3.07,"58,717",2.89,"44,248",2.97,"38,824",3.37,"34,306",3.31,"27,381",3.38,"33,558",2.95,"23,723",3.05,"17,729",2.64,"15,296",2.49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/06-02/12]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
Category,Seed Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
خرید,خرید خودرو,,,17,16.3,511,11.6,"1,044",10.5,365,12,782,11.4,84,11.1,119,12.2,255,11.5,120,11.7,269,12.1,87,11.4,0,0,1,6,10,12
خرید,خرید ماشین دست دوم,,,3,1.3,19,6.8,103,5.7,93,5.2,71,5.5,47,6.4,11,6.4,0,0,0,0,20,9.9,0,0,0,0,0,0,0,0
خرید,خرید و فروش خودرو,,,14,5.9,313,2.9,747,3.4,"1,038",4.8,994,4.9,"1,020",5.5,942,5.4,862,5.1,759,6,707,5.6,714,5.7,502,6.6,665,5.5,612,5.8
,Total / Weighted Average,0,#DIV/0!,34,10.69,843,8.26,"1,894",7.44,"1,496",6.58,"1,847",7.68,"1,151",5.95,"1,072",6.17,"1,117",6.53,879,6.78,996,7.43,801,6.32,502,6.60,666,5.50,622,5.90
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"W02
[01/08-01/14]",,"W03
[01/15-01/21]",,"W04
[01/22-01/28]",,"W05
[01/29-02/04]",,"W06
[02/05-02/11]",,"W07
[02/12-02/18]",,"W08
[02/19-02/25]",,"W09
[02/26-03/01]",,"W10
[03/02-03/08]",,"W11
[03/09-03/15]",,"W12
[03/16-03/22]",,"W13
[03/23-03/29]",,"W14
[03/30-04/05]",,"W15
[04/06-04/12]",,"W16
[04/13-04/19]",
City,Seed Keyword,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po,IMP,Po
شهر,فروش خودرو در شیراز,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,3.7,0,0
شهر,خودرو ۴۵ شیراز,,,2,1.0,37,1.2,124,1.1,175,1.1,135,1.1,0,0,147,1.3,210,1.4,278,1.4,291,1.2,258,1.2,178,1.1,229,1.2,292,1.2
شهر,خودرو 45 شیراز,,,1,1.0,8,1.3,50,1,56,1.1,53,1,0,0,59,1.6,85,1.3,173,1.5,122,1.6,144,1.1,144,1.3,169,1.3,187,1.1
شهر,فروش خودرو شیراز,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,2.6,1,5,0,0,0,0,3,2.7,3,4
شهر,سایت خودرو ۴۵ شیراز,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.1,2,1,5,1.2,3,1,2,1
شهر,فروش خودرو در اصفهان,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.8,3,5.7
شهر,خودرو ۴۵ اصفهان,,,2,1.0,29,1,86,1,0,0,0,0,0,0,91,1.2,0,0,330,1.5,0,0,310,1.2,167,1.3,245,1.2,247,1.2
شهر,سایت خودرو ۴۵ اصفهان,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1.1,5,1,7,1,6,1
شهر,صفحه لندینگ فروش خودرو در تهران,,,0,0,0,0,0,0,0,0,"1,923",3,"6,041",5,"8,685",7,"17,775",7.2,"12,810",7.0,"13,080",6.4,220,6.2,"18,511",5.2,"15,378",3.8,"20,268",3.5
شهر,صفحه لندینگ فروش خودرو در کرج,,,22,3.6,681,3.3,"2,859",3.9,"6,311",2.7,"4,607",2.9,"4,288",2.4,"3,069",2.7,"3,720",2.5,"3,816",2.5,"3,370",2.8,341,2.8,"2,578",2.8,"3,236",2.6,"2,898",2.6
شهر,صفحه لندینگ فروش خودرو در مشهد,,,25,3.7,"1,475",2.1,"5,713",2,"8,710",1.7,"6,305",1.7,"5,226",1.6,"4,332",1.6,"5,910",1.7,"6,404",1.7,"5,556",1.8,737,1.6,"5,499",1.6,"6,650",1.6,"5,664",1.7
شهر,صفحه لندینگ فروش خودرو در تبریز,,,0,0,0,0,"1,753",2.4,"4,154",1.9,"3,505",2.2,"3,220",2.0,"2,393",1.9,"3,255",1.7,"3,588",1.7,"3,419",2,350,2,"2,600",1.8,"3,478",1.6,"3,457",1.8
شهر,صفحه لندینگ فروش خودرو در اهواز,,,15,7,804,2,"2,823",1.8,"4,515",1.7,"3,485",1.7,"3,157",1.6,"2,953",1.7,"3,612",1.6,"3,864",1.7,"3,846",1.8,323,1.7,"3,468",1.7,"4,708",1.6,"4,424",1.8
شهر,صفحه لندینگ فروش خودرو در رشت,,,0,0,0,0,948,2.3,"2,258",2.1,"1,616",2.4,"1,377",2.4,"1,174",2.1,"1,347",1.9,"1,319",2.1,"1,374",2.3,224,1.8,"1,195",1.7,"1,427",2.1,"1,487",2.4
,Total / Weighted Average,0,#DIV/0!,67,4.20,"3,034",2.32,"14,356",2.39,231,1.10,188,1.07,0,#DIV/0!,297,1.33,296,1.39,786,1.47,422,1.32,739,1.18,499,1.22,671,1.29,740,1.20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KPI,"W02
[01/08-01/14]",Gr%,"W03
[01/15-01/21]",Gr%,"W04
[01/22-01/28]",Gr%,"W05
[01/29-01/04]",Gr%,"W06
[02/05-02/11]",Gr%,"W07
[02/12-02/18]",Gr%,"W08
[02/19-02/25]",Gr%,"W09
[02/26-02/01]",Gr%,"W10
[03/02-03/08]",Gr%,"W11
[03/09-03/15]",Gr%,"W12
[03/16-03/22]",Gr%,"W13
[03/23-03/29]",Gr%,"W14
[03/30-04/05]",Gr%,"W15
[04/06-04/12]",Gr%,"W16
[04/13-04/19]",Gr%
,Organic users,"1,206",#REF!,"7,168",494.36%,"8,042",12.19%,"4,882",-39.29%,"10,115",107.19%,"9,434",-6.73%,"8,955",-5.08%,"9,642",7.67%,"89,171",824.82%,"420,226",371.26%,"704,002",67.53%,"860,784",22.27%,"681,664",-20.81%,"670,471",-1.64%,"520,365",-22.39%
,Organic new users,"1,122",#REF!,"4,620",311.76%,"5,006",8.35%,"2,480",-50.46%,"5,483",121.09%,"4,040",-26.32%,"3,764",-6.83%,"3,974",5.58%,"33,514",743.33%,"207,040",517.77%,"322,301",55.67%,"388,128",20.42%,"283,327",-27.00%,"269,423",-4.91%,"211,636",-21.45%
,Sessions,"1,408",#REF!,"8,912",532.95%,"9,770",9.63%,"6,219",-36.35%,"13,224",112.64%,"13,283",0.45%,"12,629",-4.92%,"13,509",6.97%,"92,797",586.93%,"570,405",514.68%,"955,459",67.51%,"1,215,417",27.21%,"929,934",-23.49%,"920,760",-0.99%,"713,085",-22.55%
,Engaged Sessions,339,#REF!,"5,349",1477.88%,"5,642",5.48%,"3,758",-33.39%,"8,315",121.26%,"8,922",7.30%,"8,843",-0.89%,"9,512",7.57%,"72,993",667.38%,"436,799",498.41%,"682,960",56.36%,"904,826",32.49%,"670,881",-25.86%,"684,473",2.03%,"515,178",-24.73%
,Referring Domain,,,,,,,,,,,"1,115",,"1,139",,"1,203",,"1,225",,"1,248",,"1,233",,"1,235",,"1,272",,"1,277",,,
,spam score,,,,,2%,,2%,,1%,,2%,,2%,,2%,,2%,,1%,,1%,,1%,,1%,,1%,,1%,
,Q request,731,#REF!,"2,426",231.87%,"4,592",89.28%,"6,821",48.54%,"8,930",30.92%,"10,323",15.60%,"9,066",-12.18%,"8,778",-3.18%,"9,728",10.82%,"10,482",7.75%,"9,894",-5.61%,"13,175",33.16%,"8,669",-34.20%,"9,948",14.75%,"7,426",-25.35%
,Q request - non blog,521,,"2,220",,"4,151",,"5,920",,"7,808",,"9,296",,"8,408",,"8,038",,"8,653",,"9,394",,"8,924",,"11,703",,"7,673",,"9,108",,"6,863",
,Buy,33,,139,,278,,299,,468,,474,,447,,297,,237,,262,,296,,205,,95,,226,,218,
,Buy - non blog,26,,132,,264,,289,,448,,455,,432,,287,,228,,251,,279,,196,,91,,215,,214,
,Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,impression,"19,208",#REF!,"319,816",1565.01%,"3,800,131",1088.22%,"12,324,886",224.33%,"16,650,409",35.10%,"16,730,183",0.48%,"11,762,069",-29.70%,"16,306,973",38.64%,"14,453,289",-11.37%,"12,675,847",-12.30%,"11,551,178",-8.87%,"13,255,525",14.75%,"10,846,522",-18.17%,"10,824,753",-0.20%,"9,282,546",-14.25%
,click,"1,473",#REF!,"13,512",817.31%,"293,822",2074.53%,"1,132,771",285.53%,"1,473,028",30.04%,"1,511,448",2.61%,"868,805",-42.52%,"1,096,559",26.21%,"1,092,071",-0.41%,"952,182",-12.81%,"882,189",-7.35%,"1,071,159",21.42%,"827,725",-22.73%,"790,821",-4.46%,"654,667",-17.22%
,Click-branded,,,378,,"15,199",,"69,476",,"115,893",,"86,606",,"80,803",,"74,250",,"91,950",,"98,876",,"89,207",,"99,845",,"68,561",,"89,982",,"78,601",
,Click-non branded,,,"8,231",,"101,540",,"131,448",29.45%,"222,267",69.09%,"364,391",63.94%,"196,330",-46.12%,"122,280",-37.72%,"111,669",-8.68%,"114,799",2.80%,"104,663",-8.83%,"153,287",46.46%,"94,996",-38.03%,"83,778",-11.81%,"71,401",
,Brand Click Share,,,4.39%,,13.02%,,34.58%,,34.27%,,19.20%,,29.16%,,37.78%,,45.16%,,46.27%,,46.01%,,39.44%,,41.92%,,51.79%,,52.40%,
,ctr,,#REF!,7.6%,#DIV/0!,7.7%,1.32%,9.2%,19.48%,8.8%,-4.35%,9%,2.27%,7.4%,-17.78%,6.7%,-9.46%,7.6%,13.43%,7.5%,-1.32%,7.6%,1.33%,8.1%,6.58%,7.6%,-6.17%,7.3%,-3.95%,7.1%,-2.74%
,rank,,,,,5.2,,4.8,,4.7,,4.9,,5.2,,5,,4.8,,4.9,,4.8,,4.7,,4.8,,4.9,,4.9,
,DA,,,,,,,,,33,,33,,33,,33,,33,,33,,33,,33,,33,,33,,34,